product_name,current_price,original_price,discount_percentage,discount_amount,brand,category,product_type
LOGITECH 910-006765 LOGITECH M100R USB WIRED MOUSE BLK CARTON BOX 3Y,9.0,12.0,25.0,3.0,LOGITECH,Accessories,mouse
CANON GI-790 PBK BLACK INK BOTTLE,14.7,15.0,2.0,0.3000000000000007,CANON,Other,Other
CANON GI-790 C CYAN INK BOTTLE,14.7,15.0,2.0,0.3000000000000007,CANON,Other,Other
LOGITECH 910-005934 PICO UNIFYING RECEIVER [CARTON PACK] (1Y),14.0,16.0,12.5,2.0,LOGITECH,Other,Other
MORRIES MS-1228S DRY IRON,18.0,20.3,11.33,2.3000000000000007,MORRIES,Small Appliance,iron
ASUS TUF GAMING P1 GAMING MOUSEMAT TUF GAMING P1 GAMING MOUSEMAT,16.0,19.0,15.79,3.0,ASUS,Gaming,gaming
CORNELL CJKS10L CORDLESS KETTLE (1L),16.0,33.9,52.8,17.9,CORNELL,Kitchen Appliance,kettle
MASTERPLUG SWC62N-MPA 13A 6 GANG INDIVIDUAL SWITCH (2M),18.0,19.9,9.55,1.8999999999999986,MASTERPLUG,Networking,switch
SAMSUNG MUF-128AB/APC SAMSUNG FIT PLUS USB FLASH DRIVE - 128GB,27.0,40.0,32.5,13.0,SAMSUNG,Other,Other
MASTERPLUG SRGU42N-MPA 13A 4 GANG INDIVIDUAL W/SURGE (WHITE),21.0,22.9,8.3,1.8999999999999986,MASTERPLUG,Other,Other
ELECOM M-TM10DBPN WIRELESS FLAT SHAPE 4 BUTTON BLUE LED PN,28.5,29.9,4.68,1.3999999999999986,ELECOM,Other,Other
MASTERPLUG SRGU62N-MPA 13A 6 GANG INDIVIDUAL W/SURGE (WHITE),23.0,24.9,7.63,1.8999999999999986,MASTERPLUG,Other,Other
ELECOM MPA-CLL12BK TYPE C-LIGHTNING CABLE PD 1.2M L SHAPED ANTI BACTERIAL BLACK,21.41,24.9,14.02,3.4899999999999984,ELECOM,Accessories,cable
LOGITECH 981-0000587 STEREO HEADSET H151 (SINGLE 3.5MM JACK),22.0,25.0,12.0,3.0,LOGITECH,Accessories,headset
CORNELL CSIS1601S STEAM IRON (1600W),23.0,69.0,66.67,46.0,CORNELL,Small Appliance,iron
LOGITECH 956-000032 DESK MAT STUDIO SERIES - LAVENDER,24.0,39.0,38.46,15.0,LOGITECH,Furniture,desk
LOGITECH 956-000045 DESK MAT STUDIO SERIES - DARKER ROSE,24.0,39.0,38.46,15.0,LOGITECH,Furniture,desk
LOGITECH 956-000046 DESK MAT STUDIO SERIES - MID GREY,24.0,39.0,38.46,15.0,LOGITECH,Furniture,desk
MASTERPLUG SRGLSU43PW-MPA 13A 4 GANG IND W/SURGE AND USB (3M),28.0,34.9,19.77,6.899999999999999,MASTERPLUG,Other,Other
JISULIFE LIFE9-3600 BLACK HANDHELD FAN LIFE9 (3600MAH),27.0,30.9,12.62,3.8999999999999986,JISULIFE,Small Appliance,fan
CORNELL CJKE150SSW CORDLESS KETTLE 1.5L (WHITE),28.0,79.0,64.56,51.0,CORNELL,Kitchen Appliance,kettle
LOGITECH G203 LIGHTSYNC RGB WIRED MOUSE BLACK (2Y),30.0,32.9,8.81,2.8999999999999986,LOGITECH,Accessories,mouse
LOGITECH G203 LIGHTSYNC RGB WIRED MOUSE WHITE (2Y),28.0,32.9,14.89,4.899999999999999,LOGITECH,Accessories,mouse
CANON CLI-781 Y XL YELLOW XL INKJET CARTRIDGES,34.69,36.0,3.64,1.3100000000000023,CANON,Printer,inkjet
LOGITECH 940-000112 GAMEPAD F310,30.0,35.0,14.29,5.0,LOGITECH,Other,Other
LOGITECH 910-006986 PEBBLE MOUSE 2 M350S - TONAL WHITE,35.0,49.0,28.57,14.0,LOGITECH,Accessories,mouse
LOGITECH 910-006987 PEBBLE MOUSE 2 M350S - TONAL ROSE,35.0,49.0,28.57,14.0,LOGITECH,Accessories,mouse
CORNELL CJKP182SSB CORDLESS KETTLE 1.8L (BLACK),34.0,89.0,61.8,55.0,CORNELL,Kitchen Appliance,kettle
MORRIES MS-312TF 12 INCH TABLE FAN,31.0,38.6,19.69,7.600000000000001,MORRIES,Small Appliance,fan
MISTRAL ELECTRIC TABLE FAN (12 INCH) MTF1217SE (WINTER GREY),39.0,49.0,20.41,10.0,MISTRAL,Small Appliance,fan
MKE170M2ADKH 1.7L KETTLE (BLACK COLOR),36.0,49.0,26.53,13.0,MKE170M2ADKH,Kitchen Appliance,kettle
MIDEA MFT060M0APBH 6 INCH AIR CIRCULATION FAN,36.0,49.0,26.53,13.0,MIDEA,Small Appliance,fan
KENWOOD CH180 CHOPPER,38.0,39.9,4.76,1.8999999999999986,KENWOOD,Kitchen Appliance,chopper
RAZER RZ02-03820200-R3M1 HARD GAMING MOUSE MAT -  LARGE SPHEX V3,34.0,39.9,14.79,5.899999999999999,RAZER,Gaming,gaming
INNERGIE ADP-65DW DZDA 65W LAPTOP ADAPTOR FOR DELL,36.0,39.9,9.77,3.8999999999999986,INNERGIE,Laptop,laptop
INNERGIE ADP-65DW DZDC 65W LAPTOP ADAPTOR FOR LENOVO,36.0,39.9,9.77,3.8999999999999986,INNERGIE,Laptop,laptop
SONY WI-C100/BZE WIRELESS IN-EAR HEADPHONES (BLACK),38.4,80.0,52.0,41.6,SONY,Smartphone,Other
SONY WI-C100/WZE WIRELESS IN-EAR HEADPHONES (WHITE),38.4,80.0,52.0,41.6,SONY,Smartphone,Other
TARGUS APS1101AP-50 TARGUS SMART SURGE 6 WITH 4 USB PORTS (UK),37.0,40.3,8.19,3.299999999999997,TARGUS,Other,Other
CANON PGI-2700PBK INK CARTRIDGE BLACK,41.0,42.0,2.38,1.0,CANON,Other,Other
METROID PRIME REMASTERED FOR NINTENDO SWITCH,40.0,45.9,12.85,5.899999999999999,METROID,Gaming,nintendo
SONY PCAS-05049 PS4 -DISSIDIA FINAL FANTASY NT,18.0,41.9,57.04,23.9,SONY,Gaming,ps4
STRYV SVMSBDO2-01 MULTI SHAVE,63.0,139.0,54.68,76.0,STRYV,Other,Other
MASTERPLUG CMU10134SL-PX 13A 4 SOCKET CASSETTE REEL (10M),41.0,44.9,8.69,3.8999999999999986,MASTERPLUG,Other,Other
STEELSERIES QCK EDGE LARGE GAMING CLOTH,35.0,45.0,22.22,10.0,STEELSERIES,Gaming,gaming
IGLOOHOME IEF1 KEY FOB,43.65,45.0,3.0,1.3500000000000014,IGLOOHOME,Other,Other
MISTRAL ELECTRIC TABLE FAN (16 INCH) MTF1617SE (WINTER GREY),45.0,59.0,23.73,14.0,MISTRAL,Small Appliance,fan
SONA SIC8612 MULTI-FUNCTION INDUCTION COOKER,63.0,109.0,42.2,46.0,SONA,Kitchen Appliance,induction cooker
SONA T24 PERSONAL AND TRAVELER KETTLE (0.5L),43.0,59.0,27.12,16.0,SONA,Kitchen Appliance,kettle
PHILIPS STH3010/30 3000 SERIES HANDHELD STEAMER,47.0,79.0,40.51,32.0,PHILIPS,Small Appliance,steamer
LOGITECH 920-006314 MK270R WIRELESS COMBO,46.0,49.0,6.12,3.0,LOGITECH,Washing Machine,combo
IWALK DBL10000M-001A BLACK iWalk Link me 10000 MAGSAFE,29.0,99.0,70.71,70.0,IWALK,Other,Other
KENWOOD BLP10.A0WH BLENDER (2L),41.0,49.9,17.84,8.899999999999999,KENWOOD,Kitchen Appliance,blender
BRAUN WK1100BK BREAKFAST1 COFFEE MAKER BLACK,41.0,49.9,17.84,8.899999999999999,BRAUN,Kitchen Appliance,coffee
XIAOMI BHR7278GL LCD WRITING TABLET 13.5IN (COLOR EDITION),19.0,49.9,61.92,30.9,XIAOMI,Monitor,lcd
MORRIES VF-12 12 INCH VELOCITY FAN,47.0,56.1,16.22,9.100000000000001,MORRIES,Small Appliance,fan
POWERA 1518605-02 NSW ENWIRED CONTROLLER MARIO PUNCH,49.0,50.4,2.78,1.3999999999999986,POWERA,Gaming,controller
TARGUS APS2001AP-50 TARGUS SMART SURGE 6 WITH 4 USB PORTS (UK),47.0,50.4,6.75,3.3999999999999986,TARGUS,Other,Other
JISULIFE FA53 WHITE HANDHELD FAN PRO1(ABS VERSION),44.0,51.9,15.22,7.899999999999999,JISULIFE,Small Appliance,fan
MORRIES MS-535SFT 16 INCH STAND FAN W/TIMER,51.0,60.2,15.28,9.200000000000003,MORRIES,Small Appliance,fan
LOGITECH K380S PEBBLE KEYS 2 (TONAL ROSE),47.0,65.0,27.69,18.0,LOGITECH,Other,Other
LOGITECH K380S PEBBLE KEYS 2 (TONAL WHITE),47.0,65.0,27.69,18.0,LOGITECH,Other,Other
SAMSUNG MB-MJ256KA/APC ENDURANCE PRO 256GB MICROSD CARD,63.36,69.0,8.17,5.640000000000001,SAMSUNG,Storage,microsd
MAYER MMAP406 ELECTRIC AIRPOT (4L),51.0,69.0,26.09,18.0,MAYER,Other,Other
TEFAL KO2601 SAFE TEA KETTLE 1.7L,55.0,99.0,44.44,44.0,TEFAL,Kitchen Appliance,kettle
CORNELL CVCE59CHC WIRED CYCLONE HANDHELD VACUUM,57.0,159.0,64.15,102.0,CORNELL,Small Appliance,vacuum
