product_name,product_url,image_url,current_price,original_price,discount_percentage,discount_amount,brand,category,product_type
LG (GT-T5107BM) 506L Top Freezer with Inverter Linear Compressor 2-Door Refrigerator - Black Mirror,https://www.harveynorman.com.sg/home-appliances/kitchen-appliances-en/fridges/lg-gt-t5107bm-506l-top-freezer-with-inverter-linear-compressor-2-door-refrigerator-black-mirror.html,"https://hnsgsfp.imgix.net/4/images/detailed/156/Slide1_plyy-13.JPG?fit=fill&bg=0FFF&w=500&h=293&auto=format,compress",1299.0,1650.0,21.27,351.0,LG,Refrigerator,refrigerator
LG FV1410H3BA Front Load Washer Dryer (10/6KG),https://www.harveynorman.com.sg/home-appliances/washing-machines-and-dryers-en/washer-dryer-combo/lg-fv1410h3ba-front-load-washer-dryer-10-6kg-en.html,"https://hnsgsfp.imgix.net/4/images/detailed/156/Slide1_gncw-i9.JPG?fit=fill&bg=0FFF&w=500&h=293&auto=format,compress",1449.0,1935.0,25.12,486.0,LG,Washing Machine,washer
LG AI Direct Drive FV1409S4W 9kg Front Load Washing Machine - Blue White,https://www.harveynorman.com.sg/home-appliances/washing-machines-and-dryers-en/washing-machines-en/lg-ai-direct-drive-fv1409s4w-9kg-front-load-washing-machine-blue-white.html,"https://hnsgsfp.imgix.net/4/images/detailed/156/Slide1_v90x-1k.JPG?fit=fill&bg=0FFF&w=500&h=293&auto=format,compress",869.0,1151.0,24.5,282.0,LG,Washing Machine,washing machine
LG FV1411S2B Front Load Washing Machine (11KG),https://www.harveynorman.com.sg/home-appliances/washing-machines-and-dryers-en/washing-machines-en/lg-fv1411s2b-front-load-washing-machine-11kg-en.html,"https://hnsgsfp.imgix.net/4/images/detailed/156/Slide1_xun6-4i.JPG?fit=fill&bg=0FFF&w=500&h=293&auto=format,compress",1399.0,1833.0,23.68,434.0,LG,Washing Machine,washing machine
LG Front Control Smart Wi-fi Enabled Dishwasher - Silver (DFC533FV),https://www.harveynorman.com.sg/home-appliances/kitchen-appliances-en/dishwashers-en/lg-front-control-smart-wi-fi-enabled-dishwasher-silver-dfc533fv-en.html,"https://hnsgsfp.imgix.net/4/images/detailed/156/Slide1_lyrc-t0.JPG?fit=fill&bg=0FFF&w=500&h=293&auto=format,compress",999.0,1299.0,23.09,300.0,LG,Dishwasher,dishwasher
Samsung 9KG/6KG Washer Dryer Combo WD90T754DBX/SP,https://www.harveynorman.com.sg/home-appliances/washing-machines-and-dryers-en/washing-machines-en/samsung-9kg-6kg-washer-dryer-combo-wd90t754dbx-sp.html,"https://hnsgsfp.imgix.net/4/images/detailed/69/WD90T754DBX-S7_001_Front_Inox.jpg?fit=fill&bg=0FFF&w=500&h=292&auto=format,compress",1299.0,1523.0,14.71,224.0,Samsung,Washing Machine,washer
Samsung 8KG Heat Pump Dryer DV80T6220HH/SP,https://www.harveynorman.com.sg/home-appliances/washing-machines-and-dryers-en/dryers-en/samsung-8kg-heat-pump-dryer-dv80t6220hh-sp-en.html,"https://hnsgsfp.imgix.net/4/images/detailed/156/1032418T.jpg?fit=fill&bg=0FFF&w=500&h=293&auto=format,compress",1099.0,1483.0,25.89,384.0,Samsung,Washing Machine,dryer
Samsung Microwave Convection with Slim Fry - MC28A5137CK/SP,https://www.harveynorman.com.sg/home-appliances/kitchen-appliances-en/microwave-ovens-en/samsung-microwave-convection-with-slim-fry-mc28a5137ck-sp-en.html,"https://hnsgsfp.imgix.net/4/images/detailed/156/Slide1_2i98-61.JPG?fit=fill&bg=0FFF&w=500&h=293&auto=format,compress",333.0,499.0,33.27,166.0,Samsung,Kitchen Appliance,microwave
Samsung Bespoke Front Load Washer Dryer - WD25DB8995BZSP,https://www.harveynorman.com.sg/home-appliances/washing-machines-and-dryers-en/washer-dryer-combo/samsung-bespoke-front-load-washer-dryer-wd25db8995bzsp.html,"https://hnsgsfp.imgix.net/4/images/detailed/142/Slide1_gj10-qz.JPG?fit=fill&bg=0FFF&w=500&h=293&auto=format,compress",5349.0,5499.0,2.73,150.0,Samsung,Washing Machine,washer
Toshiba 20L Grill Microwave Oven - Black (MWP-MG20P(BK)),https://www.harveynorman.com.sg/home-appliances/kitchen-appliances-en/microwave-ovens-en/toshiba-20l-grill-microwave-oven-black-mwp-mg20p-bk.html,"https://hnsgsfp.imgix.net/4/images/detailed/153/Midea_20L_Grill_Microwave_Oven_-_Black_(MWP-MG20P(BK))_01.JPG?fit=fill&bg=0FFF&w=500&h=293&auto=format,compress",129.0,149.0,13.42,20.0,Toshiba,Kitchen Appliance,microwave
GoPro Protective Underwater Housing for Select HERO Cameras - Clear (ADDIV-001-VT),https://www.harveynorman.com.sg/smart-tech-and-phones/cameras-en/action-cameras-en/gopro-protective-underwater-housing-for-select-hero-cameras-clear-addiv-001-vt.html,"https://hnsgsfp.imgix.net/4/images/detailed/152/GoPro_Protective_Underwater_Housing_for_Select_HERO_Cameras_-_Clear_(ADDIV-001-VT)_01.JPG?fit=fill&bg=0FFF&w=500&h=293&auto=format,compress",75.0,0.0,0.0,0.0,GoPro,Camera,gopro
Insta360 3-Prong Mount to 1/4-inch - 20 Thread Adapter - Black (CINSBAVE),https://www.harveynorman.com.sg/smart-tech-and-phones/cameras-en/action-cameras-en/insta360-3-prong-mount-to-1-4-inch-20-thread-adapter-black-cinsbave.html,"https://hnsgsfp.imgix.net/4/images/detailed/152/Insta360_3-Prong_Mount_to_1-4-inch_-_20_Thread_Adapter_-_Black_(CINSBAVE)_01.JPG?fit=fill&bg=0FFF&w=500&h=293&auto=format,compress",8.0,0.0,0.0,0.0,Insta360,Accessories,mount
JBL Authentics 200 Smart Home Speaker - White,https://www.harveynorman.com.sg/tv-and-audio/sound-systems/portable-speakers/jbl-authentics-200-smart-home-speaker-white.html,"https://hnsgsfp.imgix.net/4/images/detailed/152/JBL_Authentics_200_Smart_Home_Speaker_-_White_01.JPG?fit=fill&bg=0FFF&w=500&h=293&auto=format,compress",359.0,499.0,28.06,140.0,JBL,Audio,speaker
JBL Authentics 300 Portable Smart Home Speaker - White,https://www.harveynorman.com.sg/tv-and-audio/sound-systems/portable-speakers/jbl-authentics-300-portable-smart-home-speaker-white.html,"https://hnsgsfp.imgix.net/4/images/detailed/152/JBL_Authentics_300_Portable_Smart_Home_Speaker_-_White_01.JPG?fit=fill&bg=0FFF&w=500&h=293&auto=format,compress",499.0,599.0,16.69,100.0,JBL,Audio,speaker
